latitude,longitude,frequency,logFreq
42.3505,-71.0934,3354,3.525563058
42.35,-71.0929,3352,3.52530401
42.3545,-71.1009,3350,3.525044807
42.351,-71.1139,3350,3.525044807
42.352,-71.1039,3346,3.524525937
42.3535,-71.0879,3339,3.523616419
42.3475,-71.1114,3328,3.522183318
42.3475,-71.1009,3324,3.521661015
42.3495,-71.0924,3323,3.521530341
42.354,-71.0974,3314,3.520352504
42.3535,-71.1029,3314,3.520352504
42.353,-71.1034,3309,3.519696767
42.35,-71.1139,3306,3.519302849
42.3525,-71.0874,3305,3.519171464
42.3255,-71.0994,3302,3.518777069
42.351,-71.1044,3295,3.517855419
42.3545,-71.0984,3294,3.517723595
42.3475,-71.1094,3292,3.517459827
42.3515,-71.1139,3282,3.516138577
42.3525,-71.1039,3277,3.515476441
42.3515,-71.1044,3277,3.515476441
42.3545,-71.1014,3276,3.515343893
42.354,-71.1024,3275,3.515211304
42.3535,-71.0964,3262,3.513483957
42.364,-71.0729,3253,3.512284063
42.3495,-71.0929,3249,3.511749711
42.352,-71.1044,3238,3.510276844
42.3475,-71.1119,3224,3.508395033
42.3545,-71.0979,3220,3.507855872
42.354,-71.0969,3218,3.50758604
42.364,-71.0724,3216,3.50731604
42.3475,-71.1089,3212,3.506775537
42.353,-71.0874,3207,3.50609896
42.3495,-71.1139,3201,3.505285674
42.353,-71.1039,3190,3.503790683
42.3545,-71.1019,3189,3.503654519
42.3535,-71.1034,3189,3.503654519
42.3535,-71.0959,3186,3.503245771
42.3525,-71.1044,3179,3.502290528
42.352,-71.1049,3172,3.501333179
42.355,-71.0999,3168,3.500785173
42.348,-71.1129,3166,3.500510911
42.354,-71.1029,3162,3.499961866
42.355,-71.0994,3161,3.499824496
42.3485,-71.1134,3161,3.499824496
42.355,-71.1004,3154,3.498861689
42.3545,-71.0974,3145,3.49762065
42.354,-71.0964,3141,3.497067936
42.355,-71.0989,3134,3.496098992
42.364,-71.0719,3125,3.494850022
42.355,-71.1009,3119,3.494015375
42.3525,-71.1049,3118,3.493876111
42.353,-71.1044,3105,3.492061605
42.3545,-71.1024,3101,3.491501766
42.347,-71.1104,3099,3.491221576
42.355,-71.0984,3093,3.49037992
42.3535,-71.1039,3091,3.490099005
42.352,-71.0869,3090,3.489958479
42.347,-71.1099,3087,3.489536629
42.3535,-71.0874,3087,3.489536629
42.3475,-71.1124,3086,3.489395922
42.326,-71.0974,3085,3.489255168
42.354,-71.0959,3084,3.489114369
42.347,-71.1109,3082,3.488832634
42.3545,-71.0969,3077,3.488127496
42.355,-71.1014,3069,3.486996888
42.354,-71.1034,3065,3.486430479
42.349,-71.1139,3064,3.486288761
42.347,-71.1094,3054,3.484869033
42.353,-71.1049,3050,3.484299839
42.355,-71.0979,3043,3.483301952
42.3525,-71.0869,3041,3.48301642
42.347,-71.1114,3032,3.481729197
42.3545,-71.0964,3021,3.480150725
42.3535,-71.1044,3020,3.480006943
42.3545,-71.1029,3017,3.47957531
42.355,-71.1019,3009,3.478422188
42.3505,-71.1144,3006,3.477988976
42.351,-71.1144,3001,3.477265995
42.364,-71.0714,2995,3.476396827
42.355,-71.0974,2992,3.475961589
42.354,-71.1039,2987,3.475235223
42.3545,-71.0959,2978,3.473924693
42.3535,-71.1049,2972,3.473048805
42.353,-71.0869,2972,3.473048805
42.35,-71.1144,2971,3.472902652
42.3555,-71.0999,2968,3.472463897
42.3555,-71.0994,2965,3.472024698
42.3265,-71.0984,2961,3.471438407
42.3515,-71.1144,2958,3.47099817
42.3555,-71.1004,2957,3.470851325
42.354,-71.0874,2957,3.470851325
42.348,-71.1134,2957,3.470851325
42.347,-71.1119,2953,3.470263447
42.3555,-71.0989,2949,3.469674773
42.355,-71.1024,2945,3.469085299
42.355,-71.0969,2945,3.469085299
42.3545,-71.1034,2943,3.468790262
42.3555,-71.1009,2932,3.467163966
42.3475,-71.1129,2932,3.467163966
42.354,-71.1044,2928,3.466571072
42.3555,-71.0984,2922,3.465680212
42.3485,-71.1139,2913,3.464340485
42.326,-71.0994,2909,3.463743721
42.355,-71.0964,2904,3.462996612
42.3495,-71.1144,2902,3.462697408
42.3555,-71.1014,2896,3.461798558
42.3555,-71.0979,2890,3.460897843
42.354,-71.1049,2887,3.460446784
42.3535,-71.0869,2886,3.460296327
42.355,-71.1029,2883,3.459844642
42.3545,-71.1039,2882,3.459693976
42.355,-71.0959,2874,3.458486764
42.3465,-71.1099,2871,3.458033192
42.3645,-71.0724,2869,3.457730548
42.3465,-71.1104,2869,3.457730548
42.3265,-71.0979,2868,3.457579147
42.3555,-71.0974,2855,3.455606113
42.3555,-71.1019,2853,3.455301772
42.347,-71.1124,2851,3.454997217
42.3465,-71.1109,2847,3.454387467
42.3525,-71.0864,2837,3.452859336
42.3545,-71.1044,2833,3.452246575
42.355,-71.1034,2826,3.451172158
42.3555,-71.0969,2822,3.450557009
42.3645,-71.0719,2808,3.448397103
42.349,-71.1144,2808,3.448397103
42.3555,-71.1024,2806,3.448087667
42.356,-71.0999,2803,3.447623098
42.356,-71.0994,2803,3.447623098
42.3465,-71.1114,2803,3.447623098
42.3265,-71.0989,2801,3.447313109
42.3545,-71.1049,2799,3.447002898
42.356,-71.1004,2794,3.446226402
42.3555,-71.0964,2793,3.446070936
42.356,-71.0989,2793,3.446070936
42.354,-71.0869,2792,3.445915414
42.353,-71.0864,2786,3.444981112
42.355,-71.1039,2777,3.44357588
42.356,-71.0984,2777,3.44357588
42.356,-71.1009,2775,3.443262987
42.3475,-71.1134,2773,3.44294987
42.348,-71.1139,2763,3.441380885
42.3555,-71.1029,2759,3.4407517
42.356,-71.0979,2755,3.440121603
42.356,-71.1014,2749,3.43917474
42.3255,-71.0969,2749,3.43917474
42.3465,-71.1119,2740,3.437750563
42.355,-71.1044,2738,3.437433444
42.3505,-71.1149,2736,3.437116093
42.347,-71.1129,2735,3.436957331
42.351,-71.1149,2734,3.43679851
42.356,-71.0974,2732,3.436480695
42.3535,-71.0864,2724,3.435207103
42.3645,-71.0714,2719,3.434409208
42.356,-71.1019,2717,3.434089638
42.3555,-71.1034,2716,3.433929766
42.35,-71.1149,2712,3.433289685
42.355,-71.1049,2709,3.432809005
42.356,-71.0969,2709,3.432809005
42.3515,-71.1149,2705,3.432167269
42.3485,-71.1144,2700,3.431363764
42.346,-71.1099,2695,3.43055877
42.356,-71.0964,2689,3.429590802
42.346,-71.1104,2684,3.428782511
42.356,-71.1024,2682,3.428458774
42.3555,-71.1039,2677,3.427648371
42.3525,-71.0859,2674,3.427161403
42.3565,-71.0994,2666,3.425860145
42.3565,-71.0999,2664,3.42553422
42.3495,-71.1149,2664,3.42553422
42.3565,-71.0989,2660,3.424881637
42.3465,-71.1124,2660,3.424881637
42.346,-71.1109,2659,3.424718337
42.3565,-71.1004,2656,3.424228071
42.354,-71.0864,2654,3.423900919
42.352,-71.1149,2653,3.42373725
42.3565,-71.0984,2650,3.423245874
42.356,-71.1029,2646,3.42258984
42.3555,-71.1044,2645,3.422425676
42.3565,-71.1009,2642,3.421932813
42.3565,-71.0979,2636,3.420945406
42.353,-71.0859,2636,3.420945406
42.3565,-71.1014,2621,3.418467021
42.346,-71.1114,2620,3.418301291
42.3565,-71.0974,2620,3.418301291
42.3475,-71.1139,2620,3.418301291
42.347,-71.1134,2612,3.416973173
42.356,-71.1034,2612,3.416973173
42.3265,-71.0974,2606,3.415974411
42.365,-71.0724,2605,3.415807728
42.3565,-71.0969,2604,3.41564098
42.325,-71.0999,2600,3.414973348
42.3565,-71.1019,2597,3.41447195
42.349,-71.1149,2597,3.41447195
42.3565,-71.0964,2590,3.413299764
42.3535,-71.0859,2590,3.413299764
42.3255,-71.0999,2588,3.412964272
42.348,-71.1144,2588,3.412964272
42.356,-71.1039,2581,3.411788005
42.3545,-71.0864,2580,3.411619706
42.3565,-71.1024,2570,3.409933123
42.3465,-71.1129,2569,3.409764104
42.346,-71.1119,2567,3.409425869
42.365,-71.0719,2562,3.408579125
42.326,-71.0969,2560,3.408239965
42.356,-71.1044,2554,3.407220893
42.357,-71.0994,2547,3.406028945
42.357,-71.0989,2544,3.405517107
42.357,-71.0999,2544,3.405517107
42.3565,-71.1029,2542,3.405175546
42.357,-71.0984,2538,3.404491618
42.357,-71.1004,2537,3.404320467
42.354,-71.0859,2537,3.404320467
42.3455,-71.1104,2531,3.403292145
42.357,-71.0979,2529,3.402948829
42.357,-71.1009,2525,3.402261382
42.3505,-71.1154,2522,3.401745082
42.351,-71.1154,2521,3.401572846
42.3265,-71.0994,2521,3.401572846
